code,name,series,element,tagemoji,tagname,wishlist,gen,owner,fought,frame,custom_frame,3D,morph,glow,bg,attack,defense,speed,hp,moves
njap70,Kiriya Ubuyashiki,Demon Slayer,light,N/A,N/A,2,604,N/A,N/A,0,N/A,false,false,N/A,N/A,59,48,42,269,"Nec, Sha"
njamzz,Karina,Mobile Legends,earth,N/A,N/A,3,1158,N/A,N/A,0,N/A,false,false,N/A,N/A,58,78,55,247,"Roc, Mys"
nj9x42,Imran,Evertale,light,N/A,N/A,0,1327,N/A,N/A,0,N/A,false,false,N/A,N/A,41,42,57,305,"Spi, Alm"
nj9nj6,Sally Acorn,Sonic the Hedgehog,earth,N/A,N/A,1,960,N/A,N/A,0,N/A,false,false,N/A,N/A,48,54,60,245,"Bod, Tem"
nj9ml6,Yan,Library of Ruina,ice,N/A,N/A,4,793,N/A,N/A,0,N/A,false,false,N/A,N/A,43,54,58,241,"Dra, Gra"
nj9kkm,EVO 3,Girls Frontline,void,🔫,whatamifightingfor,0,1697,N/A,N/A,0,N/A,false,false,N/A,N/A,57,40,57,279,"Ven, Hel"
nj9hx0,Konoha Shizumi,Magia Record,wind,N/A,N/A,0,645,N/A,N/A,0,N/A,false,false,N/A,N/A,60,55,79,230,"Rot, Spi"
ng75i1,Sunaookami Shiroko,Blue Archive,fire,🏫,ba,114,693,N/A,N/A,0,N/A,false,false,N/A,N/A,20,37,51,267,"Eth, Tem"
mgyioy,Shirasu Azusa,Blue Archive,wind,🏫,ba,50,1549,N/A,N/A,0,N/A,false,false,N/A,N/A,48,40,77,214,"Ato, Gra"
mfaor3,Shimokura Megu,Blue Archive,earth,🏫,ba,6,1389,N/A,N/A,0,N/A,false,false,N/A,N/A,24,33,67,280,"Mys, Sha"
mfnvbt,Kuwakami Kaho,Blue Archive,earth,🏫,ba,6,1299,N/A,N/A,0,N/A,false,false,N/A,N/A,40,31,52,246,"Har, Tim"
mfcu0t,Hinomiya Chinatsu,Blue Archive,light,🏫,ba,3,1474,N/A,N/A,0,N/A,false,false,N/A,N/A,54,45,46,212,"Tim, Ato"
mfik0k,Asagao Hanae,Blue Archive,wind,🏫,ba,4,1156,N/A,N/A,0,N/A,false,false,N/A,N/A,40,30,33,225,"Cos, Rot"
nj7343,Rita Barksdale,Daria,wind,N/A,N/A,0,97,N/A,N/A,0,N/A,false,false,N/A,N/A,73,51,59,317,"Spi, Hel"
nj6szs,Yulier,Sword Art Online,void,💩,sao,0,1586,N/A,N/A,0,N/A,false,false,N/A,N/A,51,56,43,236,"Har, Eth"
nj6pot,Kiichirou Kimiyoshi,Higurashi: When They Cry,wind,N/A,N/A,0,803,N/A,N/A,0,N/A,false,false,N/A,N/A,60,56,65,233,"Ser, Hyp"
nj6jjp,Sana Miyoshi,THE iDOLM@STER Cinderella Girls,metal,N/A,N/A,1,1442,N/A,N/A,0,N/A,false,false,N/A,N/A,60,93,47,230,"Dra, Spi"
nj6hnp,Togetic,Pokemon Generation II,metal,N/A,N/A,3,533,N/A,N/A,0,N/A,false,false,N/A,N/A,44,52,55,298,"Vis, Tau"
nj6gkj,Jirou Tanabe,Hyouka,earth,N/A,N/A,0,669,N/A,N/A,0,N/A,false,false,N/A,N/A,50,58,50,244,"Ref, Vor"
nj6deq,Lilpa,Isegye Idol,void,N/A,N/A,7,1088,N/A,N/A,0,N/A,false,false,N/A,N/A,47,60,46,281,"Har, Hol"
nj64cz,Einz von Grannzreich,The Royal Tutor,light,N/A,N/A,0,653,N/A,N/A,0,N/A,false,false,N/A,N/A,56,56,60,289,"Spi, Bod"
nj4yfq,Yumeno Lilith,NoriPro,fire,N/A,N/A,0,559,N/A,N/A,0,N/A,false,false,N/A,N/A,46,46,77,245,"Vis, Gra"
nj39pg,Shimada Izumi,Girlfriend (Kari),light,N/A,N/A,0,1099,N/A,N/A,0,N/A,false,false,N/A,N/A,75,49,70,234,"Hel, Sha"
nj2qda,Onikiri,Onmyoji,metal,N/A,N/A,6,1045,N/A,N/A,0,N/A,false,false,N/A,N/A,55,47,63,303,"Und, Dru"
nj2kta,Rinwell,Tales of Arise,void,N/A,N/A,3,1810,N/A,N/A,0,N/A,false,false,N/A,N/A,40,44,71,241,"Und, Ser"
nj1bwz,Pineapple Cake,Food Fantasy,earth,N/A,N/A,1,225,N/A,N/A,0,N/A,false,false,N/A,N/A,44,43,53,253,"Ref, Mys"
nj0vce,Europa,Granblue Fantasy,wind,N/A,N/A,3,1093,N/A,N/A,0,N/A,false,false,N/A,N/A,46,50,58,272,"Eth, Tim"
niyup4,Frigg,Valkyrie Crusade,wind,N/A,N/A,0,520,N/A,N/A,0,N/A,false,false,N/A,N/A,50,55,50,296,"Spi, Ato"
niyf2l,Yuuko Minagi,Slow Loop,fire,N/A,N/A,0,744,N/A,N/A,0,N/A,false,false,N/A,N/A,46,45,51,271,"Alm, Bod"
niyatj,Kenta Mikoshiba,Paradox Live,metal,N/A,N/A,3,1792,N/A,N/A,0,N/A,false,false,N/A,N/A,53,47,51,274,"Bli, Alm"
nixzur,Arietta,Shironeko Project,ice,N/A,N/A,0,595,N/A,N/A,0,N/A,false,false,N/A,N/A,60,44,54,277,"Cos, Alm"
nixpfz,Katyusha Akae,Yurikuma Arashi,wind,N/A,N/A,0,902,N/A,N/A,0,N/A,false,false,N/A,N/A,44,50,80,280,"Vis, Nec"
nixnnx,Sao,Golden Time,light,N/A,N/A,0,752,N/A,N/A,0,N/A,false,false,N/A,N/A,60,45,50,240,"Nec, Sha"
nixke4,Chisato Mizusawa,Love is Like a Cocktail,ice,N/A,N/A,7,77,N/A,N/A,0,N/A,false,false,N/A,N/A,43,49,50,265,"Sha, Bli"
niwlny,Yoshiyuki Miyazono,Your Lie in April,fire,N/A,N/A,1,180,N/A,N/A,0,N/A,false,false,N/A,N/A,59,47,52,297,"Pur, Eth"
niumas,Nun,Master Detective Archives: RAIN CODE,metal,N/A,N/A,0,619,N/A,N/A,0,N/A,false,false,N/A,N/A,45,45,77,274,"Hel, Vis"
niuisw,Breton (Male),The Elder Scrolls V: Skyrim,light,N/A,N/A,0,991,N/A,N/A,0,N/A,false,false,N/A,N/A,42,42,58,264,"Gra, Vis"
niuhrt,Ghostly Anne,Valkyrie Crusade,light,N/A,N/A,0,637,N/A,N/A,0,N/A,false,false,N/A,N/A,40,49,49,276,"Hel, Pur"
niu77p,Mai,Black Survival,wood,N/A,N/A,0,697,N/A,N/A,0,N/A,false,false,N/A,N/A,50,85,58,241,"Tim, Bod"
niu30z,Shiki Ichinose,THE iDOLM@STER Cinderella Girls,fire,N/A,N/A,20,1872,N/A,N/A,0,N/A,false,false,N/A,N/A,52,78,48,232,"Rot, Ven"
nittjs,Cursed Musician,Sleepy Princess in the Demon Castle,fire,N/A,N/A,2,1287,N/A,N/A,0,N/A,false,false,N/A,N/A,50,54,51,242,"Out, Hol"
nitrwg,Snow White,Magical Girl Raising Project,metal,N/A,N/A,5,106,N/A,N/A,0,N/A,false,false,N/A,N/A,57,40,46,264,"Spi, Und"
nitkrc,Nurse,After the Rain,wood,N/A,N/A,0,1248,N/A,N/A,0,N/A,false,false,N/A,N/A,52,56,55,271,"Tim, Ato"
nitckh,Aegar,The Witcher 3: Wild Hunt,wind,N/A,N/A,0,705,N/A,N/A,0,N/A,false,false,N/A,N/A,53,57,55,282,"Tau, Hyp"
nit3l9,Daitou,KanColle: Kantai Collection,wind,N/A,N/A,0,1473,N/A,N/A,0,N/A,false,false,N/A,N/A,40,44,47,329,"Bod, Spi"
nisx6t,Ren Miyazawa,Juuou Mujin no Fafnir,fire,N/A,N/A,0,896,N/A,N/A,0,N/A,false,false,N/A,N/A,80,45,60,277,"Ref, Eth"
nisphb,Tetsuma Ookubo,Rurouni Kenshin,metal,N/A,N/A,0,60,N/A,N/A,0,N/A,false,false,N/A,N/A,60,52,64,237,"Gra, Har"
nism8i,Nobuhide Oda,Nobunaga the Fool,light,N/A,N/A,2,1692,N/A,N/A,0,N/A,false,false,N/A,N/A,41,48,50,253,"Bli, Und"
niqhl6,Yohan,X1,light,N/A,N/A,4,1422,N/A,N/A,0,N/A,false,false,N/A,N/A,42,44,60,231,"Sha, Mys"
niqf5a,Duke Ergi,The Remarried Empress,ice,N/A,N/A,0,252,N/A,N/A,0,N/A,false,false,N/A,N/A,43,40,40,308,"Tau, Roc"
niqdd8,Lola,The Hidden Dungeon Only I Can Enter,wood,N/A,N/A,0,574,N/A,N/A,0,N/A,false,false,N/A,N/A,42,44,45,241,"Cos, Sha"
niqaeo,Crimson,Total Drama Island,wind,N/A,N/A,2,868,N/A,N/A,0,N/A,false,false,N/A,N/A,51,58,60,243,"Gra, Mys"
niq7bq,Ashera,Fire Emblem: Radiant Dawn,wood,N/A,N/A,1,588,N/A,N/A,0,N/A,false,false,N/A,N/A,55,46,63,233,"Tim, Ser"
niq4ff,Gray (Assassin),Fate/Grand Order,ice,N/A,N/A,1,1671,N/A,N/A,0,N/A,false,false,N/A,N/A,51,57,42,296,"Bod, Pur"
niq24a,Borr,SSSS.Gridman,light,N/A,N/A,0,677,N/A,N/A,0,N/A,false,false,N/A,N/A,58,41,40,261,"Hel, Alm"
niq0mp,Shuli Von Neuschwanstein,A Stepmother's Marchen,fire,N/A,N/A,23,1210,N/A,N/A,0,N/A,false,false,N/A,N/A,43,46,50,237,"Tim, Ato"
nip1eh,Volkov,Brawlhalla,ice,N/A,N/A,3,1752,N/A,N/A,0,N/A,false,false,N/A,N/A,88,43,52,279,"Und, Tem"
nioj3a,Felt,Valkyrie Crusade,earth,N/A,N/A,0,1712,N/A,N/A,0,N/A,false,false,N/A,N/A,55,49,44,281,"Tau, Sha"
nioc5k,Cattleya,Lord Of Mysteries,ice,N/A,N/A,0,594,N/A,N/A,0,N/A,false,false,N/A,N/A,45,47,53,264,"Vor, Out"
nio6j6,Pistachio Cookie,Cookie Run,wind,N/A,N/A,4,801,N/A,N/A,0,N/A,false,false,N/A,N/A,56,53,43,294,"Mys, Spi"
nio4j2,Makoto Kikuchi,THE iDOLM@STER,light,N/A,N/A,6,746,N/A,N/A,0,N/A,false,false,N/A,N/A,41,53,75,290,"Spi, Dru"
nil3ij,Miku Maekawa,THE iDOLM@STER Cinderella Girls,fire,N/A,N/A,5,1891,N/A,N/A,0,N/A,false,false,N/A,N/A,54,55,52,256,"Nec, Eth"
nil1zh,Mountain Ape,One Punch Man,wind,N/A,N/A,0,642,N/A,N/A,0,N/A,false,false,N/A,N/A,40,44,51,289,"Dru, Out"
niksfr,Derem Kado,Nijisanji,wood,N/A,N/A,0,69,N/A,N/A,0,N/A,false,false,N/A,N/A,60,45,56,233,"Bli, Sha"
nik7an,Clockmaker,Valkyrie Crusade,wood,N/A,N/A,0,959,N/A,N/A,0,N/A,false,false,N/A,N/A,59,44,40,280,"Ato, Vor"
nihug3,Billy Hargrove,Stranger Things,fire,N/A,N/A,18,777,N/A,N/A,0,N/A,false,false,N/A,N/A,47,50,59,238,"Cos, Mys"
nihp7r,Ernst Frederick Egin,Blue Exorcist,fire,N/A,N/A,0,890,N/A,N/A,0,N/A,false,false,N/A,N/A,53,44,53,252,"Bli, Tau"
nih20g,Samuel,Is it Love? Carter Corp,wind,N/A,N/A,0,740,N/A,N/A,0,N/A,false,false,N/A,N/A,55,71,58,233,"Ven, Sha"
nih0y9,Balder,Bayonetta,metal,N/A,N/A,2,1933,N/A,N/A,0,N/A,false,false,N/A,N/A,51,51,71,250,"Und, Tau"
nifgv0,Midoriko,InuYasha,wood,N/A,N/A,0,1412,N/A,N/A,0,N/A,false,false,N/A,N/A,53,45,46,269,"Pur, Alm"
nidqzh,Sabre Cat,The Elder Scrolls V: Skyrim,metal,N/A,N/A,0,1359,N/A,N/A,0,N/A,false,false,N/A,N/A,41,42,91,260,"Ato, Hyp"
nidnie,Hideto Tange,Hell Girl: Three Vessels,wood,N/A,N/A,0,668,N/A,N/A,0,N/A,false,false,N/A,N/A,41,59,51,242,"Tim, Mys"
nidlmu,Tamako Motoki,The Comic Artist and His Assistants,fire,N/A,N/A,3,1251,N/A,N/A,0,N/A,false,false,N/A,N/A,40,58,57,328,"Sha, Hel"
nicx8n,Blue Carbuncle,Sid Story,wood,N/A,N/A,0,785,N/A,N/A,0,N/A,false,false,N/A,N/A,41,59,42,253,"Ven, Und"
nicvy6,Bomb,One Punch Man,earth,N/A,N/A,0,705,N/A,N/A,0,N/A,false,false,N/A,N/A,40,55,60,253,"Hol, Hyp"
nickee,Triss Merigold,The Witcher 3: Wild Hunt,light,N/A,N/A,25,1937,N/A,N/A,0,N/A,false,false,N/A,N/A,42,55,56,277,"Tim, Tem"
nicb39,Classmate,Mysterious Girlfriend X,wood,N/A,N/A,1,1086,N/A,N/A,0,N/A,false,false,N/A,N/A,50,51,55,258,"Har, Sha"
nic86o,Isabel Magnolia,Attack on Titan: No Regrets,light,N/A,N/A,7,709,N/A,N/A,0,N/A,false,false,N/A,N/A,56,49,40,246,"Rot, Dru"
nic73w,Damilia,Valkyrie Crusade,ice,N/A,N/A,0,990,N/A,N/A,0,N/A,false,false,N/A,N/A,52,55,89,240,"Und, Tem"
nibx91,Legion Commander,Dota 2,wind,N/A,N/A,3,1056,N/A,N/A,0,N/A,false,false,N/A,N/A,57,42,57,266,"Gra, Und"
nibs1o,Phylaks,Destiny,wood,N/A,N/A,0,879,N/A,N/A,0,N/A,false,false,N/A,N/A,47,49,44,234,"Ref, Ven"
niblxj,Urakaze,KanColle: Kantai Collection,metal,N/A,N/A,0,704,N/A,N/A,0,N/A,false,false,N/A,N/A,57,45,60,237,"Nec, Vis"
ni9hfq,Tetra,Path to Nowhere,fire,N/A,N/A,0,1895,N/A,N/A,0,N/A,false,false,N/A,N/A,41,41,44,258,"Tau, Hol"
ni9al6,Shar,Mobile Legends,wood,N/A,N/A,0,231,N/A,N/A,0,N/A,false,false,N/A,N/A,41,53,46,276,"Pur, Dru"
ni7rl3,Kariya Matou,Fate/Zero,light,N/A,N/A,0,785,N/A,N/A,0,N/A,false,false,N/A,N/A,52,40,48,284,"Bli, Tim"
ni8fdw,Jitax,Sword Art Online,ice,💩,sao,0,1381,N/A,N/A,0,N/A,false,false,N/A,N/A,60,42,49,267,"Pur, Ref"
ni74w7,Mako,Soul Tide,earth,N/A,N/A,2,1587,N/A,N/A,0,N/A,false,false,N/A,N/A,46,59,43,329,"Gra, Alm"
ni4w37,Lin Lee Koo,Xenoblade Chronicles,light,N/A,N/A,0,1581,N/A,N/A,0,N/A,false,false,N/A,N/A,54,50,53,247,"Hol, Tem"
ni4sdj,Alan Necker,Code Geass: Lelouch of the Rebellion,fire,N/A,N/A,0,826,N/A,N/A,0,N/A,false,false,N/A,N/A,54,42,51,293,"Hol, Rot"
ni4nr7,Madam,One Piece Film Strong World,ice,N/A,N/A,0,588,N/A,N/A,0,N/A,false,false,N/A,N/A,42,51,55,289,"Dra, Gra"
ni45up,Siegfried,Fate/Apocrypha,earth,🏍️,fate,6,1895,N/A,N/A,0,N/A,false,false,N/A,N/A,48,99,64,271,"Ven, Bli"
ni419r,Agiri Goshiki,Kill Me Baby,ice,N/A,N/A,4,682,N/A,N/A,0,N/A,false,false,N/A,N/A,51,41,59,260,"Nec, Bli"
ni3c5q,Mumu,Library of Ruina,ice,N/A,N/A,2,596,N/A,N/A,0,N/A,false,false,N/A,N/A,46,55,44,277,"Tau, Cos"
ni39ry,Seo Hye-Ryung,The Legend Of The Northern Blade,wind,N/A,N/A,0,948,N/A,N/A,0,N/A,false,false,N/A,N/A,41,45,46,265,"Cos, Ato"
ni0iwn,Taruho,Naruto: Shippuden the Movie,wind,N/A,N/A,0,1077,N/A,N/A,0,N/A,false,false,N/A,N/A,42,53,65,267,"Hel, Dra"
ni0ehd,Astolfo,Fire Emblem: The Binding Blade,wind,N/A,N/A,2,1819,N/A,N/A,0,N/A,false,false,N/A,N/A,43,43,42,240,"Ato, Und"
ni08t2,Raven,Another Eden: The Cat Beyond Time and Space,ice,N/A,N/A,0,758,N/A,N/A,0,N/A,false,false,N/A,N/A,59,52,57,281,"Hyp, Eth"
ni02aj,PA-san,Bocchi the Rock!,void,🎸,bocchitheglock,26,1201,N/A,N/A,0,N/A,false,false,N/A,N/A,55,40,60,271,"Eth, Mys"
nhrmox,Rosalind,Granblue Fantasy,metal,N/A,N/A,0,643,N/A,N/A,0,N/A,false,false,N/A,N/A,60,57,54,281,"Mys, Und"
nhrk9m,Postman,Tari Tari,wind,N/A,N/A,0,569,N/A,N/A,0,N/A,false,false,N/A,N/A,51,53,50,259,"Spi, Nec"
nhq2le,Inkfall,Splatoon,void,N/A,N/A,2,556,N/A,N/A,0,N/A,false,false,N/A,N/A,40,58,57,239,"Out, Alm"
nhpz8a,Magilou,Tales of Zestiria the Cross,light,N/A,N/A,6,980,N/A,N/A,0,N/A,false,false,N/A,N/A,50,40,45,243,"Nec, Bod"
nhpw0r,Sheele,Akame ga Kill!,fire,N/A,N/A,35,713,N/A,N/A,0,N/A,false,false,N/A,N/A,44,42,56,293,"Bli, Out"
nhpovs,Z-62,Girls Frontline,wind,🔫,whatamifightingfor,0,794,N/A,N/A,0,N/A,false,false,N/A,N/A,60,80,54,238,"Rot, Dra"
nhpm4p,Akagappa,Nurarihyon no Mago,light,N/A,N/A,0,1120,N/A,N/A,0,N/A,false,false,N/A,N/A,42,59,52,305,"Ato, Dru"
nhntem,Ryuuichi Naruhodou,Ace Attorney,light,N/A,N/A,26,514,N/A,N/A,0,N/A,false,false,N/A,N/A,57,51,43,253,"Tau, Hyp"
nhmvsz,Tweety,Looney Tunes,metal,N/A,N/A,0,1710,N/A,N/A,0,N/A,false,false,N/A,N/A,40,41,82,258,"Dra, Tim"
nhmsb7,Siris,High School DxD,metal,N/A,N/A,1,1848,N/A,N/A,0,N/A,false,false,N/A,N/A,41,54,48,265,"Spi, Und"
nhl5ws,Red Shinobi,Sid Story,fire,N/A,N/A,0,880,N/A,N/A,0,N/A,false,false,N/A,N/A,44,46,44,291,"Ven, Hol"
nhix4o,Mai Tsurugi,Your Turn to Die,ice,N/A,N/A,6,543,N/A,N/A,0,N/A,false,false,N/A,N/A,55,52,47,260,"Out, Sha"
nhius3,Nino,Arakawa Under the Bridge,earth,N/A,N/A,2,566,N/A,N/A,0,N/A,false,false,N/A,N/A,47,46,46,324,"Bli, Ref"
nhhoas,Lumen,Interspecies Reviewers,ice,N/A,N/A,0,41,N/A,N/A,0,N/A,false,false,N/A,N/A,41,32,53,199,"Hel, Tem"
nhgwsd,M1895 CB,Girls Frontline,ice,🔫,whatamifightingfor,0,619,N/A,N/A,0,N/A,false,false,N/A,N/A,64,33,36,252,"Hol, Tim"
nhgun4,Nanaly Fletcher,Tales of Destiny,ice,N/A,N/A,0,170,N/A,N/A,0,N/A,false,false,N/A,N/A,59,75,25,242,"Bod, Vor"
nhejxl,Vicious,Tales of Crestoria,earth,N/A,N/A,0,825,N/A,N/A,0,N/A,false,false,N/A,N/A,56,41,58,211,"Sha, Gra"
nheh71,Ballora,Five Nights at Freddy's,fire,N/A,N/A,11,1404,N/A,N/A,0,N/A,false,false,N/A,N/A,45,66,58,323,"Gra, Har"
nhcmxd,Chris,Sid Story,earth,N/A,N/A,0,1626,N/A,N/A,0,N/A,false,false,N/A,N/A,22,51,21,229,"Tau, Und"
nh93fm,Miki Tachibana,Himouto! Umaru-chan R,light,N/A,N/A,0,1227,N/A,N/A,0,N/A,false,false,N/A,N/A,53,51,59,207,"Har, Ato"
nh5l2z,Zemyna,Shakugan no Shana,light,N/A,N/A,1,790,N/A,N/A,0,N/A,false,false,N/A,N/A,57,28,76,240,"Spi, Har"
nh4s5r,Caesar,Fallout: New Vegas,void,N/A,N/A,1,896,N/A,N/A,0,N/A,false,false,N/A,N/A,29,64,31,211,"Nec, Hol"
nh4q45,Gwynne,Granblue Fantasy,earth,N/A,N/A,0,16,N/A,N/A,0,N/A,false,false,N/A,N/A,29,45,34,260,"Tau, Pur"
nh0szl,Kayla Watts,Jurassic Park,wood,N/A,N/A,0,886,N/A,N/A,0,N/A,false,false,N/A,N/A,50,23,27,256,"Dru, Und"
ngztuu,Lilith,Mythic Heroes,metal,N/A,N/A,1,1038,N/A,N/A,0,N/A,false,false,N/A,N/A,37,57,27,275,"Bli, Hel"
ngxsz2,Chiaki Hirakawa,The Irregular at Magic High School,light,N/A,N/A,0,846,N/A,N/A,0,N/A,false,false,N/A,N/A,36,37,33,196,"Spi, Und"
ngwnfi,KOOL,Utaite,wind,N/A,N/A,1,755,N/A,N/A,0,N/A,false,false,N/A,N/A,55,50,47,259,"Hol, Rot"
ngwbu7,High Elf Archer,Goblin Slayer,fire,N/A,N/A,7,728,N/A,N/A,0,N/A,false,false,N/A,N/A,79,53,69,285,"Gra, Dru"
ngvsxp,Bellina,Dragalia Lost,wood,N/A,N/A,0,530,N/A,N/A,0,N/A,false,false,N/A,N/A,26,30,25,220,"Har, Spi"
ngonuh,Ilith,Arcaea,metal,N/A,N/A,3,1791,N/A,N/A,0,N/A,false,false,N/A,N/A,34,41,53,259,"Dru, Tau"
ngoje1,Demarcus,Pacific Rim: The Black,light,N/A,N/A,0,792,N/A,N/A,0,N/A,false,false,N/A,N/A,21,36,49,262,"Bli, Vor"
ngmqjp,Gengorou Takei,Hatsukoi Limited,metal,N/A,N/A,0,1040,N/A,N/A,0,N/A,false,false,N/A,N/A,33,54,20,274,"Ven, Bli"
ngkoy1,Amiel,Valkyrie Crusade,void,N/A,N/A,0,33,N/A,N/A,0,N/A,false,false,N/A,N/A,29,24,40,219,"Har, Tau"
ngkhi5,Kanta,InuYasha,light,N/A,N/A,21,180,N/A,N/A,0,N/A,false,false,N/A,N/A,40,39,33,209,"Nec, Pur"
ngjwe2,Hakkekkyuu U-1196,Cells at Work! CODE BLACK!,metal,N/A,N/A,8,1380,N/A,N/A,0,N/A,false,false,N/A,N/A,39,31,57,230,"Nec, Ato"
ngg1d2,Rika Teramoto,The Garden of Words,light,N/A,N/A,1,517,N/A,N/A,0,N/A,false,false,N/A,N/A,49,52,70,200,"Rot, Gra"
ngfsvm,Souichirou Mikuni,[C] CONTROL - The Money and Soul of Possibility,wind,N/A,N/A,0,1219,N/A,N/A,0,N/A,false,false,N/A,N/A,36,23,30,211,"Ato, Pur"
ngeb9b,Daidoji,Senran Kagura: Portrait of Girls,metal,N/A,N/A,2,1524,N/A,N/A,0,N/A,false,false,N/A,N/A,21,41,30,219,"Pur, Vis"
ngc4nj,Law,Tales of Arise,light,N/A,N/A,0,37,N/A,N/A,0,N/A,false,false,N/A,N/A,29,58,64,295,"Ref, Spi"
ngdxqb,Jericho,Girls Frontline,earth,🔫,whatamifightingfor,0,1571,N/A,N/A,0,N/A,false,false,N/A,N/A,38,53,37,193,"Hyp, Mys"
ngb7m8,Ai,Dragon Crisis!,void,N/A,N/A,0,1239,N/A,N/A,0,N/A,false,false,N/A,N/A,35,53,29,244,"Vor, Bli"
ngb4jk,Maria Imari,This Art Club Has a Problem!,ice,N/A,N/A,1,765,N/A,N/A,0,N/A,false,false,N/A,N/A,40,54,30,306,"Tau, Spi"
ngb1pk,Yuuri Katsuki,Yuri!!! On ICE,metal,N/A,N/A,44,693,N/A,N/A,0,N/A,false,false,N/A,N/A,53,34,34,237,"Rot, Cos"
ngabcn,Uriel,Alchemy Stars,ice,N/A,N/A,1,545,N/A,N/A,0,N/A,false,false,N/A,N/A,53,31,31,194,"Bli, Roc"
ng9vn5,Tania,Little Witch Nobeta,fire,N/A,N/A,2,828,N/A,N/A,0,N/A,false,false,N/A,N/A,55,60,35,273,"Tau, Und"
ng5uwx,Mega Football Baby,OK K.O.! Let's Be Heroes,metal,N/A,N/A,1,877,N/A,N/A,0,N/A,false,false,N/A,N/A,23,60,54,220,"Eth, Roc"
ng5spr,Yuyuko Saigyouji,Touhou,metal,N/A,N/A,17,1028,N/A,N/A,0,N/A,false,false,N/A,N/A,24,43,33,253,"Bod, Vor"
ng5k64,Assassin,Fate/Stay Night,fire,N/A,N/A,2,522,N/A,N/A,0,N/A,false,false,N/A,N/A,54,60,33,190,"Mys, Spi"
ng2oh9,Scarlet Witch,Marvel Cinematic Universe,wood,N/A,N/A,44,1870,N/A,N/A,0,N/A,false,false,N/A,N/A,21,45,58,197,"Und, Hol"
nfykff,Kiritani Haruka,Project SEKAI,fire,N/A,N/A,71,1200,N/A,N/A,0,N/A,false,false,N/A,N/A,24,36,80,257,"Gra, Pur"
nfwg7t,Mitsuhide Rouen,Snow White with the Red Hair,earth,N/A,N/A,3,992,N/A,N/A,0,N/A,false,false,N/A,N/A,30,36,59,206,"Dru, Vis"
nftttx,Eisel Weimar,Atelier Elie: The Alchemist of Salburg 2,metal,N/A,N/A,0,961,N/A,N/A,0,N/A,false,false,N/A,N/A,52,30,33,196,"Roc, Ven"
nfq0xi,Takumi Kubomura,My Sweet Tyrant,metal,N/A,N/A,1,520,N/A,N/A,0,N/A,false,false,N/A,N/A,51,39,24,266,"Mys, Hel"
nfpgo4,Hogback,One Piece,void,N/A,N/A,0,1315,N/A,N/A,0,N/A,false,false,N/A,N/A,25,55,59,221,"Ser, Sha"
nfpf87,Taiju Ooki,Dr. Stone,metal,N/A,N/A,3,1108,N/A,N/A,0,N/A,false,false,N/A,N/A,35,50,22,233,"Alm, Ven"
nfp1oo,Doctor Heartless,Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note,wind,N/A,N/A,0,727,N/A,N/A,0,N/A,false,false,N/A,N/A,54,63,30,222,"Dru, Vor"
nflf7z,P90,Girls Frontline,light,🔫,whatamifightingfor,2,1192,N/A,N/A,0,N/A,false,false,N/A,N/A,35,53,59,198,"Hyp, Pur"
nfkp2h,Shiro Tagami,Tenjho Tenge,ice,N/A,N/A,0,521,N/A,N/A,0,N/A,false,false,N/A,N/A,31,55,26,201,"Alm, Ref"
nfkmbn,Shizu Itou,Assault Lily,metal,N/A,N/A,0,1151,N/A,N/A,0,N/A,false,false,N/A,N/A,45,58,42,261,"Vor, Vis"
nfjjem,Tsukushi Tsutsukakushi,"The ""Hentai"" Prince and the Stony Cat.",void,N/A,N/A,0,656,N/A,N/A,0,N/A,false,false,N/A,N/A,42,60,40,233,"Hyp, Gra"
nfjd10,Carmen 99,Gun x Sword,ice,N/A,N/A,0,786,N/A,N/A,0,N/A,false,false,N/A,N/A,66,52,20,224,"Ser, Ven"
nfijw5,Bianchi,Katekyo Hitman Reborn!,void,N/A,N/A,2,698,N/A,N/A,0,N/A,false,false,N/A,N/A,48,55,40,210,"Nec, Bod"
nfgq6b,Pim,Castle Swimmer,wind,N/A,N/A,1,595,N/A,N/A,0,N/A,false,false,N/A,N/A,26,35,33,255,"Tem, Vor"
nfczpu,Trebol,One Piece,ice,N/A,N/A,0,790,N/A,N/A,0,N/A,false,false,N/A,N/A,53,24,32,250,"Ser, Tau"
nfch5x,J.J.,Granblue Fantasy,earth,N/A,N/A,3,746,N/A,N/A,0,N/A,false,false,N/A,N/A,54,20,59,215,"Har, Mys"
nfc5y1,Gepard,Honkai Star Rail,metal,N/A,N/A,82,657,N/A,N/A,0,N/A,false,false,N/A,N/A,22,33,52,215,"Bli, Cos"
nf9p5a,Yukimura Sanada,Samurai Girls,earth,N/A,N/A,0,629,N/A,N/A,0,N/A,false,false,N/A,N/A,60,35,21,258,"Ato, Vor"
nf9n2d,Chilkoot,Brother Bear,void,N/A,N/A,0,836,N/A,N/A,0,N/A,false,false,N/A,N/A,28,24,27,198,"Sha, Tau"
nf82as,Tsubaki,Karneval,wood,N/A,N/A,0,1033,N/A,N/A,0,N/A,false,false,N/A,N/A,24,38,33,231,"Har, Hyp"
